"01 經營/行政/總務
110105 工地安全衛生工程師
110106 交通運輸規劃師
110107 裝潢及景觀設計
110108 結構工程師
110109 設計工程師
110110 工地監工
110111 營建主管
110112 水利工程師
110113 工務人員／助理
110114 金屬建材架構人員
110115 水電工程師
110116 水保技師/水保工程師
110117 都市規劃人員
110201 建築製圖員
110202 水電製圖人員
110203 工程配管繪圖
 
"12 新聞/出版/印刷
"
120101 傳播媒體主管
120102 新聞採訪記者
120103 攝影記者
120104 中英翻譯
120105 中日翻譯
120106 中法翻譯
120107 中俄翻譯
120108 中西翻譯
120109 中阿翻譯
120110 中印（尼）翻譯
120111 中越翻譯
120112 中泰翻譯
120113 中韓翻譯
120114 中德翻譯
120190 其它雙語翻譯人員
120201 書籍編譯人員
120202 文字編輯校對人員
120203 編輯
120301 排版人員
 
"
"
工作氣質測驗
我喜歡做的事
求職端TWS工作風格測評
 
"13 傳播/娛樂/藝術
"
130101 主播
130102 電台工作人員
130103 播音人員
130104 影片製作專業人員
130105 攝影師
130106 攝影助理
130107 節目企劃
130108 節目製作人員
130109 節目助理人員
130110 燈光/音響師
130111 視聽工程類人員
130190 其他媒體事業人員
130201 導演
130202 演員
130203 模特兒
130204 節目主持人
130301 音樂/作曲/歌唱家及演奏家
130302 舞蹈專業人員
130303 藝術指導/創意總監
 
"14 教育/學術/研究
"
140101 中小學教師
140102 幼教老師
140103 電腦補習班老師
140104 語言補習班老師
140105 升學補習班老師
140106 補習班助理教師
140107 課輔老師
140108 中高職教師
140109 幼稚園園長
140110 補習班主任
140111 補習班導師／管理人員
140112 安親班老師
140113 珠心算老師
140114 美術老師
140115 音樂老師
140116 講師
140117 助教
140118 特殊教育教師
140119 汽車駕駛教練
140120 社工人員
 
"15 物流/運輸/資材
"
150101 運輸交通專業人員
150102 職業大貨車司機
150103 小客(貨)車司機
150104 外務及快遞人員
150105 貨物搬運人員
150106 郵物處理及投遞人員
150107 倉儲物流人員
150109 運儲經理
150201 交通運輸部門主管
150202 職業大客車司機
150203 飛行機師
150204 飛航安全技術員
150205 空中服務員
150206 地勤服務員
150210 職業聯結車司機
150301 採購主管
150303 採購人員
150304 倉管人員
150305 物管／資材
150306 採購助理
 
"16 旅遊/餐飲/休閒
"
160101 旅遊經理人員
160102 導遊
160103 領隊
160104 櫃檯服務人員
160105 房務員
160106 導覽解說員
160107 旅遊休閒類主管
160108 OP／旅行社人員
160201 飯店、餐廳主管
160202 中/西餐烹飪廚師
160204 調酒員
160205 飯店工作人員
160206 廚師助理
160207 餐飲服務及接待員
160208 廚務清潔員
160210 日式廚師
160211 生鮮處理人員
160290 其他類廚師
160301 運動教練
160302 水上救生員
 
"17 醫療/美容/保建
"
170101 醫師
170102 牙醫師
170103 麻醉科醫師
170104 醫事放射師
170105 醫事檢驗師
170108 藥師
170109 營養師
170110 診所助理
170112 醫院行政管理人員
170113 照顧服務員
170115 護理師/護士
170119 中醫師
170122 職能治療師
170123 物理治療師
170124 語言治療師
170128 醫療設備控制人員
170204 按摩技術員
170205 整體造型師
170209 美甲彩繪師
170301 社會工作師
 
"18 保全/軍警消
"
180101 保全人員
180102 大樓管理員
180103 工地、倉庫監守員
180104 運鈔員
180105 停車場管理員
180106 保全技術人員
180201 職業軍人
180202 消防專業人員
 
"19 清潔/家事/保姆
"
190101 大樓及辦公室清潔員
190102 清潔工／資源回收人員
190103 工友
190104 環境清潔工
190201 家事服務員
190202 管家
190301 托嬰保姆人員
 
"20 農林漁牧相關
"
200101 農作物栽培工
200102 園藝栽培工
200103 種苗栽培工
200201 育苗造林工
200202 林木伐運工
200203 森林防護工
200301 遠洋漁業工
200302 水產養殖工
200401 家畜飼育工
200402 養蜂及養蠶工
200403 農牧綜合經營
 
"21 行銷/企劃/專案
"
210101 行銷企劃部門主管
210102 品牌宣傳主管
210103 行銷企劃人員
210104 產品行銷企劃人員
210105 市場調查/市調分析
210201 遊戲企劃人員
210202 網站行銷企劃
210203 活動企劃人員
210204 產品企劃主管
210205 產品企劃開發人員
210206 發行企劃/出版人員
210301 專案管理主管
210302 營運管理師／系統整合／ERP專案師
210303 軟體相關專案管理師
 
"22 其他職類
"
220101 工讀生
220102 加油服務生
220103 禮儀師
220104 私家偵探(徵信員)
220105 派報人員
220106 顧問
220107 藝術品/珠寶鑑價/拍賣人員
220108 志工人員
220109 星象占卜人員
 
